TaskIndex,TaskID,Group,TimeSpent,SliderGreen,SliderBlue,SliderViolet,ID
0,3,Sequential,39585,0,0.8,0.2,1
1,4,Sequential,16514,0.8,0.2,0,1
2,7,Sequential,24103,0.7,0.3,0,1
3,8,Sequential,25255,0.7,0.3,0,1
4,6,Sequential,16991,0,0.9,0.1,1
5,5,Sequential,26039,0.8,0,0.2,1
6,1,Sequential,28702,0,0.9,0.1,1
7,10,Sequential,25799,0.1,0.8,0.1,1
8,11,Sequential,12702,0,1,0,1
9,2,Sequential,12271,0,0,1,1
10,0,Sequential,13453,1,0,0,1
11,9,Sequential,12046,1,0,0,1
0,2,Sequential,44366,0.3,0,0.7,1
1,3,Sequential,19875,0.3,0.7,0,1
2,9,Sequential,11076,1,0,0,1
3,11,Sequential,11348,0,1,0,2
4,6,Sequential,18979,0,0.8,0.2,2
5,10,Sequential,23170,0.2,0.6,0.2,2
6,0,Sequential,9315,1,0,0,2
7,8,Sequential,48659,0.7,0.3,0,2
8,5,Sequential,14150,1,0,0,2
9,1,Sequential,13764,0,1,0,2
10,4,Sequential,16795,0.5,0.5,0,2
11,7,Sequential,13161,0.8,0.2,0,2
0,3,Sequential,26766,0,1,0,2
1,1,Sequential,20642,0,0.8,0.2,2
2,2,Sequential,10298,0,0,1,2
3,8,Sequential,16765,0.8,0.2,0,2
4,0,Sequential,20232,1,0,0,2
5,11,Sequential,6856,0,1,0,2
6,9,Sequential,7877,1,0,0,3
7,7,Sequential,11136,0.9,0.1,0,3
8,4,Sequential,13123,0.9,0.1,0,3
9,6,Sequential,9795,0,0.9,0.1,3
10,5,Sequential,20047,0.8,0.1,0.1,3
11,10,Sequential,14626,0.9,0.1,0,3
0,5,Sequential,57978,0.2,0,0.8,3
1,2,Sequential,26336,0,0,1,3
2,6,Sequential,33506,0,0.9,0.1,3
3,1,Sequential,19043,0,0.9,0.1,3
4,3,Sequential,19246,0,1,0,3
5,8,Sequential,37065,0.8,0.2,0,3
6,4,Sequential,23973,0.9,0.1,0,3
7,0,Sequential,13399,1,0,0,3
8,11,Sequential,10265,0,1,0,3
9,10,Sequential,35935,0.1,0.1,0.8,4
10,9,Sequential,25494,0.9,0,0.1,4
11,7,Sequential,11145,0.9,0.1,0,4
0,2,Sequential,54846,0.1,0,0.9,4
1,5,Sequential,48171,0.6,0,0.4,4
2,10,Sequential,47650,0.6,0.3,0.1,4
3,6,Sequential,39661,0,0.7,0.3,4
4,9,Sequential,56576,0.7,0.3,0,4
5,8,Sequential,36832,0.9,0.1,0,4
6,0,Sequential,21062,1,0,0,4
7,4,Sequential,31253,0.5,0.5,0,4
8,11,Sequential,13710,0,1,0,4
9,1,Sequential,18695,0,1,0,4
10,7,Sequential,25333,0.7,0.3,0,4
11,3,Sequential,27336,0,1,0,4
0,6,Sequential,12840,0,1,0,5
1,5,Sequential,12872,1,0,0,5
2,10,Sequential,21129,0.1,0.8,0.1,5
3,11,Sequential,7198,0,1,0,5
4,2,Sequential,17464,0,0,1,5
5,7,Sequential,12087,1,0,0,5
6,8,Sequential,34720,0.3,0.1,0.6,5
7,1,Sequential,9205,0,1,0,5
8,9,Sequential,15066,0.9,0,0.1,5
9,3,Sequential,7482,0,1,0,5
10,0,Sequential,7978,1,0,0,5
